"","Mod","Domain","Dimen","Sample","C_Smoothness","C_Range","Neighbors","Seed_off","MSE_Laplace","MSE_VL","MSE_VL_z","MSE_LowRank","LS_Laplace","LS_VL","LS_VL_z","LS_LowRank","Time_Laplace","Time_VL","Time_VL_z","Time_LowRank","Iter_Laplace","Iter_VL","Iter_VL_z","Iter_LowRank"
"230",3,10,2,625,0.5,0.3,10,253329,0.3974954,0.3965393,0.3978319,0.4106671,-579.2148,-582.1607,-579.3847,-600.2342,0.6759257,0.1887331,0.2103367,0.1507623,11,11,11,11
"231",4,10,2,625,0.5,0.3,10,449423,0.386535,0.3822844,0.3872808,0.4038049,-564.8065,-565.6644,-564.8883,-586.4398,0.5909841,0.1299217,0.1710949,0.1255832,8,8,8,8
"232",2,10,2,1089,0.5,0.3,10,135909,0.7606111,0.7710591,0.7611262,0.8179234,-1329.242,-1356.173,-1328.602,-1433.086,1.176971,0.1627109,0.1875122,0.08738017,4,5,5,4
"233",3,10,2,1089,0.5,0.3,10,192265,0.4064614,0.4086062,0.4084201,0.4456218,-977.2159,-995.6134,-979.1318,-1073.261,3.948205,0.5681155,0.741236,0.5503318,26,26,26,27
"234",4,10,2,1089,0.5,0.3,10,712731,0.3304045,0.3396334,0.3314152,0.3608718,-907.8758,-923.5817,-908.6796,-965.7201,1.458367,0.1989944,0.250103,0.1606343,8,8,8,8
"235",2,10,2,2025,0.5,0.3,10,629062,0.6876618,0.7036192,0.6931275,0.8093535,-2310.788,-2367.856,-2320.288,-2666.498,3.87636,0.2168162,0.2674901,0.1623023,5,5,5,4
"236",3,10,2,2025,0.5,0.3,10,622412,0.4196083,0.429512,0.424167,0.496304,-1795.456,-1840.783,-1800.709,-2079.911,4.897436,0.3063293,0.425338,0.2751119,8,8,8,8
"237",4,10,2,2025,0.5,0.3,10,312217,0.3215185,0.3303906,0.3237053,0.3839439,-1647.637,-1683.208,-1651.787,-1868.247,5.28003,0.3077357,0.4566946,0.2953,8,8,9,8
"238",2,10,2,4096,0.5,0.3,10,611843,0.5835648,0.6119831,0.6071432,0.8051712,-4043.002,-4293.229,-4095.106,-5367.672,15.99963,0.4550817,0.6285217,0.3216398,5,5,6,4
"239",3,10,2,4096,0.5,0.3,10,289582,0.3850829,0.3996424,0.3917558,0.5191392,-3386.485,-3546.396,-3405.425,-4356.432,26.56592,0.7839017,1.058106,0.8284259,10,10,11,11
"240",4,10,2,4096,0.5,0.3,10,125448,0.2950334,0.307778,0.2986079,0.4032342,-3070.84,-3190.618,-3090.036,-3894.982,23.48802,0.7166398,0.8592935,0.6815872,9,9,9,9
"241",2,10,2,8100,0.5,0.3,10,363378,0.5261165,0.5588241,0.5462745,0.8133092,-7010.374,-7641.922,-7149.434,-10665.6,62.38098,1.094526,1.092499,0.7709956,5,6,6,5
"242",3,10,2,8100,0.5,0.3,10,481729,0.302934,0.3221502,0.3135285,0.4847073,-5589.912,-5953.685,-5656.06,-8339.301,150.2578,3.028586,3.813699,3.21982,18,19,18,22
"243",4,10,2,8100,0.5,0.3,10,28880,0.2373604,0.2500392,0.2406406,0.3996085,-5025.126,-5366.158,-5064.584,-7649.89,89.2601,1.459923,2.252355,1.282436,9,9,9,9
"244",2,10,2,16900,0.5,0.3,10,518390,0.4406314,0.4784254,0.4950723,0.8455429,-12107.4,-13619.32,-12727.34,-22610.27,297.7869,1.888793,2.522769,1.521114,5,6,6,5
"245",3,10,2,16900,0.5,0.3,10,974025,0.2518099,0.2700096,0.2694831,0.5034369,-9477.374,-10443.95,-9739.486,-17697.96,724.5609,5.542728,7.927561,5.394024,16,16,16,17
"246",4,10,2,16900,0.5,0.3,10,725903,0.1991603,0.2113201,0.2039393,0.3972901,-8735.768,-9538.695,-8889.383,-16041.39,467.4124,3.01256,4.208524,2.645091,9,10,10,9
"247",2,10,2,256,0.5,0.3,10,50843,0.8161532,0.8196891,0.8168872,0.8266877,-337.1578,-337.2124,-337.2859,-338.7308,0.0895586,0.08139133,0.05784702,0.0327847,4,4,4,4
"248",3,10,2,256,0.5,0.3,10,225632,0.4966516,0.4914694,0.4968011,0.4793603,-264.665,-264.7266,-264.7209,-262.348,0.1594179,0.1003551,0.1166427,0.07806325,9,9,9,9
"249",4,10,2,256,0.5,0.3,10,703104,0.3930527,0.3947216,0.3929134,0.3917086,-241.3325,-241.1525,-241.2531,-241.4561,0.1849487,0.07881737,0.1352141,0.09253335,8,7,7,7
"250",2,10,2,625,0.5,0.3,10,559409,0.7797942,0.7782555,0.7792637,0.8121035,-785.4166,-793.3851,-784.9532,-819.8326,0.3595436,0.08282542,0.1012948,0.05972433,4,4,4,4
"251",3,10,2,625,0.5,0.3,10,797923,0.4286751,0.4301802,0.4294832,0.4293057,-586.9769,-595.0321,-587.4083,-608.6073,0.6867535,0.1637311,0.2063074,0.1385078,10,10,10,10
"252",4,10,2,625,0.5,0.3,10,954531,0.3602549,0.3617251,0.3603828,0.3707424,-561.4024,-565.6321,-561.2425,-573.6929,0.5368388,0.1305947,0.1478379,0.1077411,7,7,7,7
"253",2,10,2,1089,0.5,0.3,10,234635,0.8209204,0.8166962,0.8200102,0.8708947,-1354.968,-1373.459,-1355.231,-1477.172,1.017616,0.1314139,0.1718984,0.09534526,4,5,5,4
