"Smooth","Range","Laplace","MC","Exact","Vecchia-5","Vecchia-10","Vecchia-20","LR-5","LR-10","LR-20"
0.25,0.29,-934.813935091591,NA,NA,-933.601165585358,-934.339700518466,-934.278867706456,-965.462391481762,-950.900493031125,-957.648170917537
0.25,0.33,-936.088475358717,NA,NA,-937.806886500964,-937.17588966504,-935.762918510494,-964.181568090147,-959.970052458968,-954.731695215467
0.25,0.37,-937.33971070483,NA,NA,-937.890807285711,-935.526665115061,-937.193258279432,-959.683509827081,-962.446000960906,-944.438484346082
0.25,0.41,-938.558436028857,NA,NA,-938.775602399066,-937.341038881311,-938.347020002026,-959.180537192825,-961.407370374221,-950.853677835936
0.25,0.45,-939.740770602155,NA,NA,-942.475879406101,-939.138853380445,-940.079789533289,-961.220871842451,-960.363332188169,-952.761057171757
0.25,0.49,-940.885556975514,NA,NA,-939.436099900948,-943.521805662033,-940.717965708186,-968.868646317137,-959.309098938823,-959.651734136643
0.25,0.53,-941.99306918307,NA,NA,-945.628988951623,-940.965287976068,-941.201092969198,-964.132598895534,-956.960020972026,-953.181446166217
0.25,0.57,-943.064334092767,NA,NA,-941.218033606159,-942.664441198611,-942.523314724833,-964.911692074927,-952.465348785328,-955.076275572469
0.25,0.61,-944.100760176946,NA,NA,-940.078488419199,-942.279888723172,-944.226675243813,-967.279582285916,-960.59882499523,-962.290419032467
0.25,0.65,-945.103928904086,NA,NA,-941.941724168959,-944.64192248315,-944.648358491849,-964.610885806321,-966.399568451288,-961.737557665105
0.25,0.69,-946.075476273971,NA,NA,-947.007565743757,-943.333545615863,-946.741632468133,-962.239740863378,-968.117858339729,-964.972100732423
0.25,0.73,-947.017023153385,NA,NA,-945.579909566922,-944.866966211065,-946.606423735974,-963.301083452725,-963.083657764527,-957.064745260282
0.3,0.01,-968.784089938711,NA,NA,-968.830141891387,-968.786958239143,-968.784556882549,-969.837800694774,-969.856948561135,-969.841760578248
0.3,0.05,-936.356488542594,NA,NA,-942.961538897625,-937.923250304195,-936.69196890607,-966.438237018123,-963.605590476243,-964.64298645293
0.3,0.09,-930.498729384682,NA,NA,-934.895310992085,-932.999945818094,-930.692934639719,-967.584940805574,-960.780290347286,-955.401683917166
0.3,0.13,-930.759387527743,NA,NA,-934.824331020169,-931.891376302346,-931.839219201646,-959.377136068592,-952.315421889272,-949.347016537634
0.3,0.17,-932.308843953833,NA,NA,-934.161686313476,-934.332297369816,-931.910816037475,-969.841343961135,-962.958634943436,-947.292054542566
0.3,0.21,-934.20131978046,NA,NA,-935.142652060305,-934.794404641472,-934.538620518014,-964.007799583609,-949.718818878323,-948.648886475117
0.3,0.25,-936.169533513088,NA,NA,-938.646225682052,-937.432680714323,-935.896184273304,-955.75070750017,-955.65237640149,-946.287149733287
0.3,0.29,-938.119585631349,NA,NA,-941.734962697597,-939.701751454712,-938.410237365493,-962.045908961328,-952.02254074578,-950.117503365233
0.3,0.33,-940.015121716291,NA,NA,-943.752298877064,-940.059493946837,-941.747106781369,-968.140203810587,-970.28492616092,-940.928743285672
0.3,0.37,-941.842362740589,NA,NA,-944.13527807462,-943.201000818607,-942.242035793848,-961.266513428933,-973.320020922239,-949.254520565184
0.3,0.41,-943.597341201115,NA,NA,-946.624136594818,-944.874252628577,-944.833216015208,-963.720582170903,-965.78575896743,-956.044683391574
0.3,0.45,-945.280588250852,NA,NA,-945.147523885297,-943.959081971487,-945.062898090139,-963.221868466708,-971.97551317518,-955.113315348927
0.3,0.49,-946.894710780498,NA,NA,-949.06595624372,-944.80786954971,-946.291141280467,-969.727748946056,-964.163578884534,-955.801134926878
0.3,0.53,-948.443220425516,NA,NA,-949.238531070689,-949.323488751798,-946.967735816602,-966.115230106192,-962.232309198385,-946.761009416682
0.3,0.57,-949.929942324682,NA,NA,-952.845337000065,-949.827915100553,-950.663701766442,-979.438012533029,-958.363924578976,-958.668121406599
0.3,0.61,-951.358715461175,NA,NA,-950.833638137099,-948.779298945504,-950.993718199813,-973.232249454198,-965.803279407161,-954.295777739506
0.3,0.65,-952.733241842725,NA,NA,-952.897204137073,-951.528300310378,-953.566128487244,-961.258541969965,-961.957606872615,-964.892033513912
0.3,0.69,-954.057015179398,NA,NA,-952.802600635161,-952.347357754236,-952.447778128476,-967.672374064257,-970.644063980935,-961.9312145851
0.3,0.73,-955.333292470787,NA,NA,-949.544497389214,-954.150082247055,-952.518807177071,-975.400025481595,-968.372594504509,-960.387071190315
0.35,0.01,-968.542906419577,NA,NA,-968.629698140387,-968.547736905862,-968.543501415583,-969.858909696691,-969.825108289716,-969.90485581707
0.35,0.05,-934.602721470684,NA,NA,-939.867638644882,-936.250918635144,-935.291321485382,-969.197893763517,-967.596996379183,-961.884214204905
