Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
1,1,1,2500,0.5,0.05,1,125058,0.01997989,0.01997989,0.09049531,0.08690125,2176.037,2176.037,-544.2877,-513.4994,6.701028,0.08157492,0.1417336,0.07128739,2,2,2,2
2,1,1,2500,0.5,0.05,1,799309,0.1262218,0.1262218,0.5270289,0.4999888,1667.441,1667.441,-2845.278,-2851.39,9.462279,0.2574775,0.3064966,0.177464,5,5,4,4
3,1,1,2500,0.5,0.05,1,7661,0.0890772,0.0890772,0.6118821,0.5481959,1788.006,1788.006,-2913.465,-2763.135,13.34476,0.3191266,0.3874228,0.4306121,7,7,6,7
4,1,1,2500,0.5,0.05,1,491128,0.04341039,0.04341039,0.4208689,0.3821617,1836.063,1836.063,-2464.019,-2304.178,16.8269,0.3490994,0.6580133,0.3638625,8,8,8,8
1,1,1,2500,1.5,0.05,1,400272,0.001974512,0.009460455,0.08350435,0.07858206,13496.65,9313.323,-448.162,-301.1999,6.750933,0.1197209,0.1984925,0.1318641,2,2,2,2
2,1,1,2500,1.5,0.05,1,733733,0.03225837,0.4280585,1.490088,1.173226,13496.12,8727.853,-4338.274,-3806.506,11.86642,0.2279377,0.3284581,0.1745276,5,4,4,4
3,1,1,2500,1.5,0.05,1,392695,0.02240513,0.1691799,0.4761347,0.4180782,13492.94,8759.378,-2690.515,-2407.626,20.84247,0.3272276,0.6191227,0.3436923,7,6,7,7
4,1,1,2500,1.5,0.05,1,314343,0.00787294,0.06118446,0.2920713,0.275718,13468.35,9122.908,-2016.331,-1771.576,16.19367,0.326107,0.5318403,0.3178213,7,6,7,7
1,1,1,2500,0.5,0.05,3,950316,0.0197814,0.0197814,0.03288647,0.09132415,2096.413,2096.413,1894.184,-630.8554,9.40767,0.09679389,0.1823449,0.09638381,2,2,2,2
2,1,1,2500,0.5,0.05,3,760057,0.124204,0.124204,0.5010345,0.5960834,1679.8,1679.8,1624.065,-2816.85,14.89974,0.3948402,0.3977485,0.2315643,5,5,4,5
3,1,1,2500,0.5,0.05,3,945426,0.08299733,0.08299733,0.2249279,0.3915506,1827.621,1827.621,1736.265,-2321.424,17.94518,0.4065816,0.4833741,0.3411925,7,7,6,7
4,1,1,2500,0.5,0.05,3,260269,0.04640899,0.04640899,0.1315687,0.3403726,1796.029,1796.029,1653.248,-2143.933,14.72665,0.3268299,0.6496284,0.3148246,7,7,7,7
1,1,1,2500,1.5,0.05,3,87241,0.002990873,0.002962676,1.21396,0.09465405,13495.21,13492.49,7735.519,-602.5168,5.479017,0.1283906,0.1730082,0.108041,2,2,2,2
2,1,1,2500,1.5,0.05,3,772192,0.03633402,0.03670649,0.6193393,0.4611995,13433.33,13421.71,8583.085,-2536.465,9.576164,0.3488359,0.3034918,0.1893742,5,5,4,4
3,1,1,2500,1.5,0.05,3,968063,0.01696951,0.0167926,2.186918,0.342406,13506.6,13497.48,8417.278,-1787.103,25.45344,0.9025126,0.3807387,0.8550568,14,14,5,14
4,1,1,2500,1.5,0.05,3,615381,0.00948603,0.009482004,0.6423326,0.3452258,13439.43,13429.95,8471.913,-1645.861,14.98088,0.5329528,0.7847109,0.503747,7,7,6,7
1,1,1,2500,0.5,0.05,5,652173,0.02053722,0.02053722,0.02554521,0.09262017,2105.194,2105.194,2018.719,-586.0515,7.786983,0.1214957,0.2125504,0.08831644,2,2,2,2
