Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
2,10,1,500,0.5,0.05,10,667833,0.6414249,0.6414249,0.6452507,0.8176875,-516.0257,-516.0257,-463.6306,-654.7425,0.2088678,0.05311155,0.09438419,0.05473256,4,4,5,4
3,10,1,500,0.5,0.05,10,148477,0.3640129,0.3640129,0.363952,0.4844983,-409.1124,-409.1124,-218.452,-509.8126,0.2926114,0.0947516,0.1127985,0.09431696,6,6,6,7
4,10,1,500,0.5,0.05,10,267617,0.2585074,0.2585074,0.2585306,0.3370204,-333.7364,-333.7364,-74.09623,-439.1424,0.348608,0.08598351,0.11462,0.08671188,8,7,7,7
2,10,1,1000,0.5,0.05,10,902649,0.667129,0.667129,0.6676572,0.906725,-788.125,-788.125,-687.2948,-1349.274,1.076922,0.1148314,0.1636193,0.09730244,5,5,5,4
3,10,1,1000,0.5,0.05,10,508539,0.3728419,0.3728419,0.3773193,0.6024552,-664.892,-664.892,-273.1252,-1125.777,0.9885647,0.1282573,0.1788433,0.1546178,7,7,7,8
4,10,1,1000,0.5,0.05,10,946379,0.2287876,0.2287876,0.2290563,0.3518172,-563.7692,-563.7692,-48.79938,-887.6304,1.28037,0.1497648,0.2408948,0.1640482,8,8,8,8
2,10,1,2000,0.5,0.05,10,391253,0.4120714,0.4120714,0.4514188,0.7994023,-987.3337,-987.3337,-792.8214,-2608.401,3.225613,0.1690159,0.3717508,0.212435,5,5,5,5
3,10,1,2000,0.5,0.05,10,659569,0.2636799,0.2636799,0.2908132,0.5531004,-785.9614,-785.9614,-40.55083,-2178.022,4.331551,0.2962959,0.3594003,0.2551274,7,7,8,8
4,10,1,2000,0.5,0.05,10,366860,0.1571814,0.1571814,0.159177,0.3801493,-607.7126,-607.7126,411.403,-1862.975,5.26479,0.2586761,0.4384594,0.2838213,9,8,9,8
2,10,1,4000,0.5,0.05,10,158442,0.3661179,0.3661179,0.4622649,0.8323741,-844.2536,-844.2536,-495.3005,-5298.622,14.27017,0.3340409,0.457772,0.3287849,5,5,5,5
3,10,1,4000,0.5,0.05,10,440142,0.1665026,0.1665026,0.186943,0.4853758,-342.4284,-342.4284,1230.264,-4089.455,24.66663,0.7408893,0.9656613,0.6926305,10,9,9,11
4,10,1,4000,0.5,0.05,10,175171,0.1161578,0.1161578,0.1185286,0.3812463,-298.6057,-298.6057,1726.076,-3703.678,22.63338,0.6027544,1.12657,0.631531,9,9,10,9
2,10,1,8000,0.5,0.05,10,906307,0.2395412,0.2395412,0.3684251,0.7590701,1034.346,1034.346,1732.143,-10243.2,67.8,0.702625,0.8607197,0.77794,5,5,5,5
3,10,1,8000,0.5,0.05,10,271399,0.1083278,0.1083278,0.1415582,0.4401585,1764.911,1764.911,5145.504,-7729.548,143.4351,1.752548,2.933828,2.005627,15,15,15,15
4,10,1,8000,0.5,0.05,10,213788,0.07859713,0.07859713,0.08414785,0.3841559,1838.646,1838.646,5861.52,-7334.249,85.25132,0.9121411,1.801528,1.087584,8,8,9,8
2,10,1,16000,0.5,0.05,10,802777,0.1515142,0.1515142,0.2848335,0.6545357,7367.317,7367.317,8769.416,-19400.29,299.9138,1.386939,1.850477,1.416176,5,5,5,5
3,10,1,16000,0.5,0.05,10,437473,0.0894397,0.0894397,0.1523445,0.5248427,8228.323,8228.323,14105.12,-16938.89,476.7371,2.117687,3.132295,2.495316,9,9,9,10
4,10,1,16000,0.5,0.05,10,361870,0.05821535,0.05821535,0.06874312,0.3741769,8571.67,8571.67,16405.53,-14493.3,524.7234,2.275583,3.732964,2.335207,9,9,9,9
